Country,Models,Cluster,correlation,disagree (0),agree,poorest (1),poorer (2),average (3),richer (4),richest (5),N
Ethiopia,Lee_Yeh,urban,0.77868,42.3,57.7,0.0,0.3,1.5,3.7,52.3,792
Ethiopia,Lee_Yeh,all,0.51243,64.3,35.7,2.1,3.6,4.3,5.8,19.8,3290
Ghana,Lee_Yeh,rural,0.52427,69.6,30.40000000000001,5.4,6.2,6.2,7.7,5.0,1670
Ghana,Lee_Yeh,urban,0.75923,32.9,67.1,0.0,0.0,0.1,1.4,65.6,779
Ghana,Lee_Yeh,all,0.75511,57.9,42.1,3.7,4.1,4.2,5.6,24.6,2496
Guinea,Lee_Yeh,rural,0.4581,72.1,27.90000000000001,3.0,5.4,5.7,3.8,10.0,894
Guinea,Lee_Yeh,urban,0.7068,14.5,85.5,0.0,0.0,0.0,0.0,85.5,256
Guinea,Lee_Yeh,all,0.70704,59.0,41.0,2.3,4.1,4.3,2.9,27.4,1175
Kenya,Lee_Yeh,rural,0.45318,70.6,29.40000000000001,6.0,6.0,4.6,4.3,8.6,2314
Kenya,Lee_Yeh,urban,0.64717,55.8,44.2,1.9,2.2,3.4,8.5,28.2,3144
Kenya,Lee_Yeh,all,0.61703,61.7,38.3,3.6,3.8,3.9,6.7,20.4,5517
Malawi,Lee_Yeh,rural,0.20852,75.5,24.5,5.3,5.4,4.6,3.7,5.6,3790
Malawi,Lee_Yeh,urban,0.53517,62.4,37.6,2.6,2.2,3.5,4.3,25.0,2256
Malawi,Lee_Yeh,all,0.36206,70.6,29.40000000000001,4.3,4.1,4.2,4.0,12.8,6085
Mali,Lee_Yeh,rural,0.3444,70.5,29.5,1.5,4.0,5.4,5.4,13.1,1561
Mali,Lee_Yeh,urban,0.60054,10.3,89.7,0.0,0.0,0.0,0.3,89.4,311
Mali,Lee_Yeh,all,0.56835,60.6,39.4,1.3,3.5,4.5,4.6,25.7,1882
Mozambique,Lee_Yeh,rural,0.61489,69.5,30.5,3.7,4.8,4.9,3.9,13.3,1313
Mozambique,Lee_Yeh,urban,0.77597,17.6,82.4,0.0,0.0,0.4,0.4,81.6,534
Mozambique,Lee_Yeh,all,0.80567,53.7,46.3,2.6,3.3,3.5,2.9,34.0,1902
Nigeria,Lee_Yeh,rural,0.46487,73.6,26.40000000000001,3.9,6.3,5.2,3.7,7.4,3586
