Country,Cluster,metric,Ensemble,CL,CY,LY
Nigeria,rural,accuracy,0.37722,0.34724,0.46272,0.42857
Nigeria,rural,f1,0.41148,0.38265,0.52206,0.46582
Nigeria,rural,precision,0.51945,0.52922,0.63143,0.55011
Nigeria,rural,recall,0.37722,0.34724,0.46272,0.42857
Nigeria,urban,accuracy,0.62145,0.58238,0.82862,0.81553
Nigeria,urban,f1,0.74856,0.72299,0.89346,0.8919
Nigeria,urban,precision,0.95842,0.96638,0.97622,0.98873
Nigeria,urban,recall,0.62145,0.58238,0.82862,0.81553
Rwanda,all,accuracy,0.27886,0.31661,0.33313,0.33008
Rwanda,all,f1,0.28325,0.33343,0.3445,0.34157
Rwanda,all,precision,0.28905,0.36397,0.36026,0.35758
Rwanda,all,recall,0.27886,0.31661,0.33313,0.33008
Rwanda,rural,accuracy,0.24939,0.28016,0.26316,0.27614
Rwanda,rural,f1,0.24527,0.27914,0.25556,0.27248
Rwanda,rural,precision,0.24542,0.28246,0.25678,0.28223
Rwanda,rural,recall,0.24939,0.28016,0.26316,0.27614
Rwanda,urban,accuracy,0.29373,0.33027,0.36906,0.35104
Rwanda,urban,f1,0.30506,0.35747,0.39472,0.37144
Rwanda,urban,precision,0.32394,0.41461,0.43083,0.40084
Rwanda,urban,recall,0.29373,0.33027,0.36906,0.35104
Senegal,all,accuracy,0.54496,0.56277,0.67782,0.73774
Senegal,all,f1,0.57053,0.59532,0.701,0.77225
Senegal,all,precision,0.60517,0.64113,0.7311,0.81773
Senegal,all,recall,0.54496,0.56277,0.67782,0.73774
Senegal,rural,accuracy,0.43322,0.41789,0.51289,0.52055
Senegal,rural,f1,0.44973,0.43809,0.52825,0.5469
Senegal,rural,precision,0.47371,0.46894,0.55027,0.59156
Senegal,rural,recall,0.43322,0.41789,0.51289,0.52055
Senegal,urban,accuracy,0.81799,0.83005,0.87234,0.89068
Senegal,urban,f1,0.88287,0.90286,0.91233,0.94218
Senegal,urban,precision,0.96211,0.98967,0.95884,1.0
Senegal,urban,recall,0.81799,0.83005,0.87234,0.89068
Sierra Leone,all,accuracy,0.37005,0.38141,0.48638,0.5668
Sierra Leone,all,f1,0.38437,0.40537,0.49863,0.57537
Sierra Leone,all,precision,0.40693,0.44785,0.51533,0.58742
Sierra Leone,all,recall,0.37005,0.38141,0.48638,0.5668
Sierra Leone,rural,accuracy,0.31031,0.30641,0.36851,0.42898
Sierra Leone,rural,f1,0.31735,0.31845,0.37561,0.43029
Sierra Leone,rural,precision,0.33016,0.34411,0.38726,0.43481
Sierra Leone,rural,recall,0.31031,0.30641,0.36851,0.42898
Sierra Leone,urban,accuracy,0.76923,0.75771,0.8908,0.90845
Sierra Leone,urban,f1,0.84568,0.84651,0.93142,0.94176
Sierra Leone,urban,precision,0.95394,0.97412,0.97591,0.98357
Sierra Leone,urban,recall,0.76923,0.75771,0.8908,0.90845
Tanzania,all,accuracy,0.57452,0.56926,0.70768,0.79376
Tanzania,all,f1,0.61659,0.62619,0.73463,0.83214
Tanzania,all,precision,0.67934,0.71842,0.76796,0.88083
Tanzania,all,recall,0.57452,0.56926,0.70768,0.79376
Tanzania,rural,accuracy,0.41338,0.34545,0.51289,0.53333
Tanzania,rural,f1,0.44096,0.37306,0.54112,0.57675
Tanzania,rural,precision,0.49063,0.43989,0.58168,0.64353
Tanzania,rural,recall,0.41338,0.34545,0.51289,0.53333
Tanzania,urban,accuracy,0.75661,0.75239,0.87384,0.88141
